ZCTA5CE10,GEOID10,CLASSFP10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,Shape_Leng,Shape_Area,ZIP,YEAR,POP,P0_44,P45_64,P65_,PER65,PERW,PERHIS,PERBLK,PERASN,PERAUTO,PERTRAN,PERPEDB,PERTELE,PERBACH,CASE4_11,CASE4_16,TEST4_16,MEDINC,PERNCITZ,PERASSIS,PEROFFTC,PERHSRV,PERPSRV,PERFOOD,PERCLEAN,PERTROCC,PERHU1,PERHU2_9,PERHU10p,PERMOBH,PERNOINS,PERNOBB,CASE_5_1,TEST_5_1,cases_ests,GISJOIN_1,YEAR_1,STUSAB,ZCTA5A,GEOID,NAME_E,ALY7E001,ALY7E002,ALY7E003,ALY7E004,ALY7E005,ALY7E006,ALY7E007,ALY7E008,ALY7E009,ALY7E010,ALY7E011,ALY7E012,ALY7E013,ALY8E001,ALY8E002,ALY8E003,ALY8E004,ALY8E005,ALY8E006,ALY8E007,ALY8E008,ALY8E009,ALY8E010,ALY8E011,ALY8E012,ALY8E013,ALZFE001,ALZFE002,ALZFE003,ALZFE004,ALZFE005,ALZFE006,ALZFE007,ALZFE008,ALZFE009,ALZFE010,ALZFE011,ALZFE012,ALZFE013,NAME_M,ALY7M001,ALY7M002,ALY7M003,ALY7M004,ALY7M005,ALY7M006,ALY7M007,ALY7M008,ALY7M009,ALY7M010,ALY7M011,ALY7M012,ALY7M013,ALY8M001,ALY8M002,ALY8M003,ALY8M004,ALY8M005,ALY8M006,ALY8M007,ALY8M008,ALY8M009,ALY8M010,ALY8M011,ALY8M012,ALY8M013,ALZFM001,ALZFM002,ALZFM003,ALZFM004,ALZFM005,ALZFM006,ALZFM007,ALZFM008,ALZFM009,ALZFM010,ALZFM011,ALZFM012,ALZFM013,totalHU,crowdHU,PERCROWD
60601,60601,B5,G6350,S,934220,61223,41.8856419,-87.6215226,5281.197839,995446.0868,60601,2014-2018,14675,9432,3168,2075,0.141397,0.659421,0.086814,0.052266,0.179966,0.261451,0.178218,0.449679,0.077467,0.832552,29,35,189,103243,0.239387,0.005528,0.810139,0.007382,0.000868,0.00304,0.010421,0.017803,0.037289,0,0.962711,0,0.029972,0.210966,51,347,0.146974,G60601,2015-2019,US,60601,86000US60601,ZCTA5 60601,7217,4081,3223,18,604,3,233,3136,2358,13,756,0,9,578,177,75,102,0,0,0,401,231,0,98,0,72,700,455,397,0,0,0,58,245,1,0,235,0,9,ZCTA5 60601,887,643,642,32,315,7,200,590,476,21,363,18,18,350,148,95,119,18,18,18,277,236,18,111,18,85,334,230,209,18,18,18,94,228,3,18,228,18,18,8248,40,0.484966
60604,60604,B5,G6350,S,239822,0,41.8780955,-87.6284599,2676.659035,239824.6773,60604,2014-2018,782,469,220,93,0.118926,0.612532,0.043478,0.047315,0.296675,0.150602,0.154618,0.550201,0.108434,0.871087,,,,116250,0.162404,0,0.766932,0,0,0,0,0,0,0.011686,0.988314,0,0.003836,0.08142,7,36,0.194444,G60604,2015-2019,US,60604,86000US60604,ZCTA5 60604,387,200,196,0,4,0,0,187,172,11,4,0,0,21,0,0,0,0,0,0,21,18,3,0,0,0,19,5,5,0,0,0,0,14,10,0,4,0,0,ZCTA5 60604,134,70,71,11,6,11,11,89,86,18,6,11,11,20,11,11,11,11,11,11,20,19,5,11,11,11,17,7,7,11,11,11,11,15,12,11,6,11,11,381,29,7.611549
60605,60605,B5,G6350,S,3225618,2037762,41.8675665,-87.6172276,14393.47631,3235408.712,60605,2014-2018,27519,18480,6470,2569,0.093354,0.573458,0.058432,0.16534,0.161016,0.346656,0.286901,0.258748,0.068008,0.773832,51,74,441,111164,0.103601,0.049333,0.714412,0.010401,0.014108,0.030927,0.000885,0.015989,0.093916,0.007184,0.8989,0,0.026408,0.143743,122,751,0.16245,G60605,2015-2019,US,60605,86000US60605,ZCTA5 60605,12654,6336,4070,374,1325,193,374,6318,3977,682,1592,0,67,2130,825,641,41,86,0,57,1305,673,206,358,0,68,1297,749,439,130,43,105,32,548,442,40,66,0,0,ZCTA5 60605,1039,727,595,193,381,166,244,554,519,269,356,21,59,540,326,287,41,76,21,80,390,314,114,250,21,83,451,343,270,126,42,166,41,278,269,39,59,21,21,13320,331,2.484985
60606,60606,B5,G6350,S,569723,92503,41.8825241,-87.6374269,4419.41306,662224.8621,60606,2014-2018,3101,1964,706,431,0.138987,0.686553,0.062883,0.023541,0.180909,0.242353,0.149804,0.431373,0.127451,0.931492,12,22,132,131477,0.108352,0.008637,0.750098,0.012162,0.0357,0.009808,0,0.017262,0.0072,0.016,0.9768,0,0.023632,0.040787,30,210,0.142857,G60606,2015-2019,US,60606,86000US60606,ZCTA5 60606,1906,1046,768,31,200,0,47,860,657,59,144,0,0,58,0,0,0,0,0,0,58,58,0,0,0,0,125,55,42,0,13,0,0,70,70,0,0,0,0,ZCTA5 60606,282,225,172,35,137,11,44,181,170,60,77,11,11,95,11,11,11,11,11,11,95,95,11,11,11,11,99,55,52,11,20,11,11,58,58,11,11,11,11,1999,49,2.451226
60607,60607,B5,G6350,S,5927980,84715,41.8748511,-87.6495693,16961.88742,6012700.321,60607,2014-2018,29591,23912,4075,1604,0.054206,0.52178,0.083032,0.143963,0.224562,0.362396,0.267698,0.285297,0.062024,0.771378,83,143,526,93508,0.121152,0.076659,0.701144,0.005382,0.022648,0.028759,0.016706,0.011492,0.116808,0.209524,0.673667,0,0.03399,0.10138,247,1036,0.238417,G60607,2015-2019,US,60607,86000US60607,ZCTA5 60607,12083,6397,4362,480,1165,237,153,5686,3975,422,1192,0,97,1626,800,361,280,75,0,84,826,393,239,185,0,9,1309,561,326,117,73,0,45,748,455,106,154,0,33,ZCTA5 60607,872,611,450,184,247,157,85,554,484,154,264,21,68,328,221,141,160,65,21,42,210,187,108,97,21,14,227,133,140,70,43,21,57,195,156,72,70,21,37,12465,369,2.960289
60608,60608,B5,G6350,S,16322718,568479,41.8468804,-87.6706636,23475.57955,16891207.35,60608,2014-2018,79205,54670,16683,7852,0.099135,0.191251,0.506862,0.172426,0.120295,0.559437,0.287764,0.100713,0.03295,0.265971,217,381,1269,44043,0.154813,0.212549,0.409088,0.033471,0.020396,0.109536,0.056192,0.03565,0.215211,0.659667,0.123128,0.001015,0.151609,0.270886,718,2303,0.311767,G60608,2015-2019,US,60608,86000US60608,ZCTA5 60608,18046,9592,4078,1944,1525,638,1407,8454,4263,1682,1843,45,621,2839,1339,340,335,186,186,292,1500,497,567,297,0,139,17276,9788,2075,2657,1072,1157,2827,7488,2808,2002,1660,53,965,ZCTA5 60608,1117,743,433,373,238,181,248,674,399,345,330,53,182,452,283,158,181,71,123,118,271,167,169,104,27,98,993,792,274,444,202,277,512,533,329,371,307,57,260,25372,1604,6.32193
60609,60609,B5,G6350,S,20050131,91903,41.8126802,-87.6569347,21766.1614,20142044.63,60609,2014-2018,61495,41352,13166,6977,0.113456,0.14915,0.534352,0.243288,0.062964,0.671268,0.231324,0.063785,0.025547,0.135508,144,290,872,35179,0.185869,0.351308,0.338874,0.035461,0.028845,0.101057,0.068783,0.042238,0.267533,0.659592,0.070051,0.002179,0.156531,0.323254,684,1764,0.387755,G60609,2015-2019,US,60609,86000US60609,ZCTA5 60609,12347,7468,1452,1758,928,1381,1949,4879,1679,1141,1471,15,573,4751,1983,320,629,337,100,597,2768,789,1040,684,62,193,13937,8723,815,2379,898,1837,2794,5214,1028,1595,1598,27,966,ZCTA5 60609,1033,740,281,350,177,262,380,463,269,227,215,23,169,549,325,97,157,120,62,270,415,224,204,155,43,76,901,662,206,372,170,337,366,470,192,282,248,29,232,19717,1575,7.988031
60610,60610,B5,G6350,S,2997481,1177321,41.9067723,-87.6322312,11503.54904,3036270.425,60610,2014-2018,39019,25344,7646,6029,0.154514,0.687076,0.06666,0.145211,0.081037,0.301776,0.36386,0.191573,0.07918,0.750198,87,108,548,86803,0.063174,0.080751,0.705117,0.012628,0.005429,0.038887,0.005198,0.014438,0.082112,0.102183,0.815194,0.000512,0.038046,0.148481,144,954,0.150943,G60610,2015-2019,US,60610,86000US60610,ZCTA5 60610,21075,10493,6982,605,2311,210,385,10582,7534,546,2365,27,110,2511,1040,350,243,117,165,165,1471,352,425,428,0,266,1595,878,516,154,88,12,108,717,320,141,184,27,45,ZCTA5 60610,1000,787,696,236,358,101,166,705,658,155,367,44,68,440,309,145,148,106,155,100,344,171,203,180,24,215,422,275,208,168,62,25,119,264,158,104,123,44,70,23208,390,1.680455
60611,60611,B5,G6350,S,2117488,1522781,41.8939292,-87.6144969,13038.55972,2159716.819,60611,2014-2018,32426,17665,7682,7079,0.218312,0.714458,0.052458,0.02754,0.176525,0.264482,0.207737,0.38197,0.076828,0.8389,63,75,537,103522,0.124684,0.010952,0.761555,0.005898,0.007977,0.01755,0.002466,0.008702,0.026446,0.011458,0.962096,0,0.020385,0.108029,97,980,0.09898,G60611,2015-2019,US,60611,86000US60611,ZCTA5 60611,15895,7884,5420,309,1735,182,238,8011,5832,393,1699,68,19,729,289,186,37,14,52,0,440,329,89,22,0,0,1066,630,366,90,117,36,21,436,220,100,116,0,0,ZCTA5 60611,897,638,475,150,426,134,122,632,565,208,351,83,30,263,139,110,42,18,90,24,214,207,99,26,24,24,292,203,139,94,73,42,33,200,107,159,62,24,24,20267,372,1.835496
60612,60612,B5,G6350,S,9709580,0,41.8803125,-87.6877424,16658.342,9709583.016,60612,2014-2018,34311,24173,7002,3136,0.091399,0.213751,0.122585,0.599341,0.046195,0.473753,0.337696,0.097341,0.07075,0.348434,199,282,1181,41300,0.053802,0.32301,0.534926,0.052931,0.029782,0.051374,0.031542,0.031339,0.177857,0.572582,0.248258,0.000716,0.082652,0.320119,375,1854,0.202265,G60612,2015-2019,US,60612,86000US60612,ZCTA5 60612,6552,3338,1955,452,543,200,188,3214,1804,639,619,39,113,6583,2687,900,665,351,158,613,3896,1090,1100,1263,54,389,2346,1142,390,288,201,126,137,1204,437,287,393,0,87,ZCTA5 60612,475,305,224,122,137,79,85,313,197,141,127,64,65,559,317,173,171,101,65,159,392,221,211,218,47,127,315,181,99,84,75,64,69,204,100,114,120,24,65,13300,633,4.759398
60613,60613,B5,G6350,S,5632034,1114040,41.9569485,-87.6542721,15098.58242,5639976.451,60613,2014-2018,50113,35978,9706,4429,0.08838,0.730349,0.112985,0.056951,0.065971,0.351514,0.482764,0.077503,0.074668,0.744755,126,162,617,82321,0.068166,0.062611,0.655627,0.015182,0.014198,0.043577,0.015097,0.022632,0.100378,0.317891,0.581293,0.000438,0.060222,0.123785,238,1057,0.225166,G60613,2015-2019,US,60613,86000US60613,ZCTA5 60613,29869,15569,10217,1379,3025,267,681,14300,9635,1607,2856,36,166,2174,1457,744,208,187,21,297,717,506,81,130,0,0,3740,2020,832,486,324,72,306,1720,831,239,542,19,89,ZCTA5 60613,1260,808,689,313,425,109,216,965,734,448,386,39,71,426,362,303,99,130,33,116,193,155,77,76,27,27,583,421,276,229,126,58,159,324,203,119,222,30,56,26096,566,2.168915
60614,60614,B5,G6350,S,8080173,864324,41.9227137,-87.6495775,17903.96683,8308851.751,60614,2014-2018,71308,52954,12175,6179,0.086652,0.796012,0.06054,0.039182,0.074073,0.370116,0.441566,0.091647,0.067261,0.846607,142,195,901,107461,0.056431,0.03463,0.726105,0.005589,0.006749,0.027396,0.005125,0.011578,0.195029,0.303448,0.498313,0.00321,0.028869,0.101149,270,1584,0.170455,G60614,2015-2019,US,60614,86000US60614,ZCTA5 60614,41226,21774,14552,1095,4995,331,801,19452,13748,1259,4278,13,154,1511,808,479,100,117,67,45,703,289,146,243,0,25,2678,1521,839,190,246,142,104,1157,688,104,336,0,29,ZCTA5 60614,1068,859,754,193,519,122,210,826,724,217,449,16,72,314,270,254,62,95,73,44,181,110,63,115,27,23,380,293,203,82,111,105,57,212,173,58,110,27,30,33696,244,0.724122
60615,60615,B5,G6350,S,5729683,1663610,41.8016473,-87.5962879,14150.42008,5740379.141,60615,2014-2018,41563,26700,8841,6022,0.144888,0.264274,0.061906,0.547073,0.080264,0.417856,0.306516,0.194882,0.069177,0.585859,127,177,927,44111,0.094435,0.17986,0.484303,0.026616,0.031634,0.038754,0.025852,0.029866,0.11579,0.313716,0.567745,0.001333,0.069929,0.247751,237,1394,0.170014,G60615,2015-2019,US,60615,86000US60615,ZCTA5 60615,7494,3772,2783,253,466,99,171,3722,2814,288,526,0,94,10394,4159,1735,840,697,259,628,6235,3331,1043,1447,84,330,1241,730,288,170,167,6,99,511,239,106,127,0,39,ZCTA5 60615,524,342,265,155,135,61,99,338,281,95,117,24,65,716,443,353,179,243,112,167,546,362,203,264,132,136,271,226,85,152,105,10,80,104,63,74,78,24,54,20281,312,1.538386
60616,60616,B5,G6350,S,10354601,1602198,41.8448829,-87.6240323,20864.33159,10475871.45,60616,2014-2018,54464,32879,12902,8683,0.159426,0.241627,0.084459,0.248458,0.404451,0.537174,0.265904,0.12671,0.043156,0.419861,125,191,772,45997,0.190952,0.196257,0.550896,0.027304,0.022899,0.101464,0.025885,0.028433,0.14911,0.286303,0.562826,0.001312,0.091519,0.198141,251,1229,0.204231,G60616,2015-2019,US,60616,86000US60616,ZCTA5 60616,10481,5530,3016,502,1060,378,574,4951,2878,808,1210,0,55,6163,2195,1307,328,325,30,205,3968,2155,612,1095,0,106,2398,1193,504,87,224,179,199,1205,545,203,391,16,50,ZCTA5 60616,871,641,550,199,253,121,184,578,452,312,281,27,45,794,495,452,154,171,21,116,642,535,178,505,27,70,461,323,250,45,113,89,95,358,225,118,199,27,41,23203,832,3.585743
60617,60617,B5,G6350,S,35874528,3883219,41.7182009,-87.5520495,31647.58589,36884655.82,60617,2014-2018,82534,49555,20188,12791,0.154979,0.063186,0.37656,0.553651,0.002011,0.699459,0.247851,0.022112,0.025205,0.15975,258,350,1421,40265,0.082439,0.30591,0.358929,0.057073,0.052511,0.059752,0.071173,0.067218,0.574233,0.383707,0.040894,0.000758,0.097904,0.292891,522,2399,0.217591,G60617,2015-2019,US,60617,86000US60617,ZCTA5 60617,11787,6718,914,1386,603,1444,2371,5069,1404,1423,1404,40,798,18350,7729,1622,2275,1282,576,1974,10621,3080,3487,3124,18,912,12023,6781,932,1201,611,1672,2365,5242,1353,1630,1418,40,801,ZCTA5 60617,775,547,170,285,159,255,330,416,213,257,263,33,189,1004,568,339,417,286,253,360,788,426,457,471,30,282,727,497,188,263,150,263,348,448,221,268,257,33,189,27752,1024,3.689824
60618,60618,B5,G6350,S,12942883,165560,41.9475679,-87.7026468,17474.05781,13108429.55,60618,2014-2018,94395,64870,20999,8526,0.090323,0.482579,0.404174,0.021135,0.060628,0.573671,0.290961,0.056012,0.068173,0.468628,167,292,1117,73810,0.149785,0.101935,0.510628,0.015575,0.013886,0.080937,0.032672,0.035549,0.256726,0.612598,0.128676,0.0016,0.140248,0.178764,536,2205,0.243084,G60618,2015-2019,US,60618,86000US60618,ZCTA5 60618,42923,23058,10255,4077,3623,1923,3180,19865,10345,3203,4843,138,1336,1680,1022,470,172,172,67,141,658,244,168,246,0,0,19082,11548,2284,3194,1505,1950,2615,7534,1761,2234,2177,146,1216,ZCTA5 60618,1585,1147,561,587,382,377,468,770,526,408,362,93,255,296,241,182,86,86,61,71,165,93,100,104,27,27,1134,879,314,559,272,381,497,597,298,417,287,108,247,35533,1056,2.971885
60619,60619,B5,G6350,S,15595536,0,41.7436926,-87.6055232,19478.07426,15595517.9,60619,2014-2018,61258,33155,17693,10410,0.169937,0.013941,0.014186,0.956136,0.003151,0.638461,0.280644,0.017053,0.053887,0.227622,296,396,1342,33454,0.006856,0.35313,0.388358,0.074721,0.064705,0.051546,0.054145,0.056701,0.401949,0.484256,0.113238,0.000557,0.101698,0.382862,581,2313,0.251189,G60619,2015-2019,US,60619,86000US60619,ZCTA5 60619,542,285,49,72,0,68,96,257,78,65,102,0,12,23423,10491,2321,2961,1871,913,2425,12932,4248,3647,3706,45,1286,398,244,24,36,98,45,41,154,49,56,17,0,32,ZCTA5 60619,257,157,61,89,27,75,76,154,71,48,87,27,18,1122,770,384,416,345,242,403,784,473,544,547,47,310,230,204,30,42,139,42,58,86,53,43,22,27,32,25789,778,3.01679
60620,60620,B5,G6350,S,18349458,10662,41.7404975,-87.6525582,22078.11823,18360124.49,60620,2014-2018,68096,37715,18539,11842,0.173902,0.011087,0.013378,0.962494,0.003994,0.669552,0.26466,0.009229,0.041694,0.162797,333,463,1306,35890,0.006829,0.325568,0.396955,0.082861,0.057115,0.059124,0.039362,0.093104,0.514945,0.382119,0.101488,0.001448,0.098514,0.414596,700,2585,0.270793,G60620,2015-2019,US,60620,86000US60620,ZCTA5 60620,571,306,86,40,62,0,118,265,37,107,56,0,65,24048,10239,1916,2645,1411,746,3521,13809,3736,4294,4350,79,1350,479,238,60,79,31,19,49,241,32,143,51,0,15,ZCTA5 60620,171,127,65,35,56,27,92,101,30,79,49,27,61,1290,713,392,418,342,229,385,956,452,550,565,81,311,209,99,58,58,24,25,45,144,27,135,39,27,21,25623,598,2.333841
60621,60621,B5,G6350,S,9656673,0,41.7763818,-87.6395712,14937.06421,9656666.595,60621,2014-2018,29042,17852,7262,3928,0.135252,0.011019,0.036533,0.942704,0.002617,0.512167,0.414575,0.024846,0.033043,0.089099,128,198,606,20991,0.017389,0.520917,0.345682,0.087709,0.062561,0.075074,0.067345,0.06526,0.247586,0.547366,0.198998,0.003484,0.126259,0.526606,301,1034,0.291103,G60621,2015-2019,US,60621,86000US60621,ZCTA5 60621,164,112,0,47,0,40,25,52,1,25,1,0,25,7678,3245,453,1050,493,396,853,4433,1041,1850,1104,0,438,201,139,21,40,0,67,11,62,30,0,15,0,17,ZCTA5 60621,76,72,21,37,21,36,28,38,2,29,4,21,24,530,358,133,210,138,159,177,383,194,252,228,21,145,101,82,22,36,21,55,22,55,45,21,23,21,21,11047,466,4.21834
60622,60622,B5,G6350,S,6398118,10221,41.902172,-87.6833374,16827.64494,6408346.307,60622,2014-2018,52793,41969,7705,3119,0.05908,0.646752,0.219328,0.061182,0.042676,0.457518,0.344092,0.097471,0.077646,0.691953,143,201,838,93988,0.067111,0.097736,0.608907,0.013408,0.00962,0.057059,0.0115,0.023139,0.134594,0.75888,0.103847,0.002368,0.063135,0.129346,308,1468,0.209809,G60622,2015-2019,US,60622,86000US60622,ZCTA5 60622,30992,16413,9711,1446,3210,840,1206,14579,9324,1946,2950,39,320,1884,1113,616,130,221,62,84,771,396,168,157,0,50,6155,3362,1015,567,571,545,664,2793,1130,683,863,32,85,ZCTA5 60622,937,697,525,316,350,187,251,620,511,350,341,28,97,337,262,225,86,98,44,60,215,166,66,78,27,42,658,456,200,251,170,181,234,402,175,259,236,29,61,23600,661,2.800847
60623,60623,B5,G6350,S,13911298,224875,41.8488968,-87.7176611,19178.64399,14136185.8,60623,2014-2018,85979,60250,17924,7805,0.090778,0.02917,0.661371,0.303539,0.000884,0.685552,0.218752,0.058719,0.031486,0.098409,242,469,1176,31634,0.220472,0.394601,0.293095,0.044653,0.0186,0.085204,0.078378,0.042367,0.189393,0.772537,0.036224,0.001846,0.213823,0.419796,1285,2709,0.474345,G60623,2015-2019,US,60623,86000US60623,ZCTA5 60623,11586,7098,846,1737,705,1354,2456,4488,1187,1139,1234,31,897,8297,3288,508,765,694,214,1107,5009,1338,1624,1447,28,572,21798,13624,1070,3045,1563,3081,4865,8174,1581,2155,2394,116,1928,ZCTA5 60623,903,608,203,258,183,300,349,508,235,240,224,28,195,622,393,143,205,186,100,279,473,255,243,279,27,172,1182,830,232,360,312,453,443,658,272,316,338,82,292,24958,2814,11.274942
60624,60624,B5,G6350,S,9155265,14139,41.8805038,-87.7244439,14615.16975,9169410.06,60624,2014-2018,36158,24567,7669,3922,0.108468,0.027352,0.052962,0.903728,0.003125,0.531102,0.384704,0.022471,0.030765,0.086758,196,290,902,22992,0.018032,0.535204,0.362294,0.100803,0.05157,0.070721,0.04886,0.067171,0.128692,0.706261,0.163374,0.001673,0.120378,0.423802,430,1457,0.295127,G60624,2015-2019,US,60624,86000US60624,ZCTA5 60624,561,285,75,72,36,61,41,276,120,52,85,0,19,9601,3929,493,1009,627,258,1542,5672,1169,1888,1873,41,701,651,325,17,87,7,154,60,326,85,140,85,0,16,ZCTA5 60624,162,92,50,46,22,57,33,99,60,49,47,24,23,805,533,135,223,195,123,373,563,183,317,348,38,139,235,149,17,72,10,135,39,114,41,100,40,24,18,11912,762,6.396911
60625,60625,B5,G6350,S,10035096,87870,41.9730757,-87.700362,18353.01175,10122956.43,60625,2014-2018,79243,54525,17143,7575,0.095592,0.455384,0.327827,0.047134,0.128907,0.52817,0.329709,0.071038,0.056592,0.482568,160,306,991,64117,0.175599,0.133505,0.466568,0.031851,0.011417,0.082363,0.036696,0.046071,0.169439,0.603517,0.226369,0.000675,0.137415,0.183662,596,1824,0.326754,G60625,2015-2019,US,60625,86000US60625,ZCTA5 60625,30692,16334,7734,2693,2373,1077,2457,14358,8377,2265,3042,12,662,1962,1165,388,178,340,11,248,797,485,155,107,5,45,13231,8096,1248,2437,969,1374,2068,5135,1426,1420,1447,12,830,ZCTA5 60625,1253,855,446,455,317,276,473,796,546,286,337,19,223,402,275,129,97,171,17,116,203,151,70,82,8,50,1150,842,269,459,219,315,389,641,269,275,315,19,256,29157,1603,5.497822
60626,60626,B5,G6350,S,4415535,1192512,42.0100191,-87.6670946,11092.43332,4415533.474,60626,2014-2018,49730,33193,11506,5031,0.101166,0.451317,0.206153,0.247416,0.058697,0.412385,0.4115,0.099178,0.059418,0.467242,118,255,906,40591,0.152725,0.192889,0.442474,0.032053,0.018202,0.101527,0.033504,0.057254,0.07286,0.371263,0.554469,0.001409,0.13441,0.232591,512,1664,0.307692,G60626,2015-2019,US,60626,86000US60626,ZCTA5 60626,17290,9079,4359,1677,1486,628,929,8211,4546,1799,1563,34,269,6205,3271,812,765,522,43,1129,2934,923,926,827,9,249,5236,3112,590,1135,427,449,511,2124,638,697,648,0,141,ZCTA5 60626,905,677,431,327,250,191,233,590,439,269,230,31,114,739,491,233,225,214,70,269,493,265,229,240,17,143,727,530,187,313,180,174,217,322,176,151,206,27,78,22314,1439,6.448866
60628,60628,B5,G6350,S,28281720,194243,41.6908748,-87.615773,31111.557,28475951.21,60628,2014-2018,66724,38297,17155,11272,0.168935,0.019198,0.03435,0.932078,0.001843,0.68019,0.263563,0.015166,0.029016,0.188778,276,385,1298,40261,0.012829,0.365324,0.410436,0.071709,0.068736,0.035132,0.044833,0.06886,0.675914,0.260412,0.055937,0.007737,0.088447,0.324622,624,2264,0.275618,G60628,2015-2019,US,60628,86000US60628,ZCTA5 60628,1406,740,173,137,63,116,251,666,186,115,254,14,97,22517,9709,2052,2468,1310,807,3072,12808,3653,3556,4359,157,1083,1028,577,32,91,78,115,261,451,96,43,181,9,122,ZCTA5 60628,275,180,97,72,41,64,107,158,74,61,89,15,47,1033,592,333,391,264,233,381,725,440,467,437,95,231,197,141,32,65,66,55,105,116,62,34,69,13,45,23528,623,2.647909
